long,lat,calle_nombre,calle_altura,direccion,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3721587819581,-34.6007873275973,TUCUMAN,363,TUCUMAN 363,San Nicolas,Comuna 1,1049,
-58.4195351759589,-34.5982795966685,TUCUMAN,3841,TUCUMAN 3841,Almagro,Comuna 5,1189,
-58.3723706065368,-34.6008665969867,TUCUMAN,399,TUCUMAN 399,San Nicolas,Comuna 1,1049,
-58.3727543517102,-34.6008357004677,TUCUMAN,401,TUCUMAN 401,San Nicolas,Comuna 1,1049,
-58.373185110146,-34.6008686106908,TUCUMAN,439,TUCUMAN 439,San Nicolas,Comuna 1,1049,
-58.3734078594974,-34.6008856272663,TUCUMAN,455,TUCUMAN 455,San Nicolas,Comuna 1,1049,
-58.3741155112554,-34.6009395652461,TUCUMAN,501,TUCUMAN 501,San Nicolas,Comuna 1,1049,
-58.3745124618942,-34.6009658611978,TUCUMAN,531,TUCUMAN 531,San Nicolas,Comuna 1,1049,
-58.3756014873911,-34.6010340875316,TUCUMAN,601,TUCUMAN 601,San Nicolas,Comuna 1,1049,
-58.3758860698716,-34.6010499790408,TUCUMAN,649,TUCUMAN 649,San Nicolas,Comuna 1,1049,
-58.3768693901218,-34.6011016530588,TUCUMAN,701,TUCUMAN 701,San Nicolas,Comuna 1,1049,
-58.3783126826611,-34.6011948061074,TUCUMAN,801,TUCUMAN 801,San Nicolas,Comuna 1,1049,
-58.378939130509,-34.6012213074585,TUCUMAN,857,TUCUMAN 857,San Nicolas,Comuna 1,1049,
-58.3792964304633,-34.6012364214986,TUCUMAN,877,TUCUMAN 877,San Nicolas,Comuna 1,1049,
-58.3798213927456,-34.6012575168781,TUCUMAN,901,TUCUMAN 901,San Nicolas,Comuna 1,1049,
-58.4615485200474,-34.556312905976,"UGARTE, MANUEL",2399,"UGARTE, MANUEL 2399",Belgrano,Comuna 13,1428,
-58.4620019393552,-34.5561940532957,"UGARTE, MANUEL",2401,"UGARTE, MANUEL 2401",Belgrano,Comuna 13,1428,
-58.412569053866,-34.5815004036076,UGARTECHE,2910,UGARTECHE 2910,Palermo,Comuna 14,1425,
-58.412569053866,-34.5815004036076,UGARTECHE,2924,UGARTECHE 2924,Palermo,Comuna 14,1425,
-58.4121471637847,-34.5807970821311,UGARTECHE,3050,UGARTECHE 3050,Palermo,Comuna 14,1425,
-58.4107803077642,-34.5785095274882,UGARTECHE,3294,UGARTECHE 3294,Palermo,Comuna 14,1425,
-58.422833255615,-34.580832256548,URIARTE,2477,URIARTE 2477,Palermo,Comuna 14,1425,
-58.422850113537,-34.5807035743574,URIARTE,2491,URIARTE 2491,Palermo,Comuna 14,1425,
-58.3976603923033,-34.6093985387646,,10,"URIBURU JOSE E., PRES. 10",,,,
-58.3987832132896,-34.5968660302426,"URIBURU JOSE E., PRES.",1009,"URIBURU JOSE E., PRES. 1009",Recoleta,Comuna 2,1114,
-58.3978639267785,-34.5939278941689,"URIBURU JOSE E., PRES.",1223,"URIBURU JOSE E., PRES. 1223",Recoleta,Comuna 2,1114,
-58.3973876183494,-34.5927988098927,"URIBURU JOSE E., PRES.",1301,"URIBURU JOSE E., PRES. 1301",Recoleta,Comuna 2,1114,
-58.397376598886,-34.5927779842468,"URIBURU JOSE E., PRES.",1305,"URIBURU JOSE E., PRES. 1305",Recoleta,Comuna 2,1114,
-58.39568486055,-34.5901470128588,"URIBURU JOSE E., PRES.",1601,"URIBURU JOSE E., PRES. 1601",Recoleta,Comuna 2,1114,
-58.3977894433295,-34.6074086463823,"URIBURU JOSE E., PRES.",193,"URIBURU JOSE E., PRES. 193",Balvanera,Comuna 3,1027,
-58.3978891057253,-34.6073337534982,"URIBURU JOSE E., PRES.",200,"URIBURU JOSE E., PRES. 200",Balvanera,Comuna 3,1027,
-58.3979127477547,-34.6061827934292,"URIBURU JOSE E., PRES.",291,"URIBURU JOSE E., PRES. 291",Balvanera,Comuna 3,1027,
-58.39796242315,-34.6058400978871,"URIBURU JOSE E., PRES.",309,"URIBURU JOSE E., PRES. 309",Balvanera,Comuna 3,1027,
-58.3981406302564,-34.6048480372747,"URIBURU JOSE E., PRES.",391,"URIBURU JOSE E., PRES. 391",Balvanera,Comuna 3,1027,
-58.3982518041612,-34.6046757457249,"URIBURU JOSE E., PRES.",400,"URIBURU JOSE E., PRES. 400",Balvanera,Comuna 3,1027,
-58.3983107256952,-34.6034415609152,"URIBURU JOSE E., PRES.",493,"URIBURU JOSE E., PRES. 493",Balvanera,Comuna 3,1027,
-58.3985294340739,-34.6023483887768,"URIBURU JOSE E., PRES.",592,"URIBURU JOSE E., PRES. 592",Balvanera,Comuna 3,1027,
-58.3984763949357,-34.6020007628429,"URIBURU JOSE E., PRES.",605,"URIBURU JOSE E., PRES. 605",Balvanera,Comuna 3,1027,
-58.3985603150418,-34.6012318881852,"URIBURU JOSE E., PRES.",679,"URIBURU JOSE E., PRES. 679",Balvanera,Comuna 3,1027,
-58.3986293418138,-34.6010197392728,"URIBURU JOSE E., PRES.",705,"URIBURU JOSE E., PRES. 705",Balvanera,Comuna 3,1027,
-58.3986608020074,-34.6006218652922,"URIBURU JOSE E., PRES.",735,"URIBURU JOSE E., PRES. 735",Balvanera,Comuna 3,1027,
-58.3987251010041,-34.5997728904554,"URIBURU JOSE E., PRES.",799,"URIBURU JOSE E., PRES. 799",Balvanera,Comuna 3,1027,
-58.397661464853,-34.6085544124042,,97,"URIBURU JOSE E., PRES. 97",,,,
-58.3984971541851,-34.5954993423884,"URIBURU JOSE E., PRES.",1099,"URIBURU JOSE E., PRES. 1099",Recoleta,Comuna 2,1114,
-58.398367164479,-34.5951291908032,"URIBURU JOSE E., PRES.",1115,"URIBURU JOSE E., PRES. 1115",Recoleta,Comuna 2,1114,
-58.3956021750085,-34.5900745435907,"URIBURU JOSE E., PRES.",1617,"URIBURU JOSE E., PRES. 1617",Recoleta,Comuna 2,1114,
-58.3977018348858,-34.6081630892838,"URIBURU JOSE E., PRES.",105,"URIBURU JOSE E., PRES. 105",Balvanera,Comuna 3,1027,
-58.398497211808,-34.5952020012791,"URIBURU JOSE E., PRES.",1110,"URIBURU JOSE E., PRES. 1110",Recoleta,Comuna 2,1114,
-58.3946384002969,-34.589122060341,"URIBURU JOSE E., PRES.",1719,"URIBURU JOSE E., PRES. 1719",Recoleta,Comuna 2,1114,
-58.3978206488026,-34.6070970670227,"URIBURU JOSE E., PRES.",209,"URIBURU JOSE E., PRES. 209",Balvanera,Comuna 3,1027,
-58.3979596696101,-34.6058367971485,"URIBURU JOSE E., PRES.",305,"URIBURU JOSE E., PRES. 305",Balvanera,Comuna 3,1027,
-58.3982073195323,-34.6043521757033,"URIBURU JOSE E., PRES.",411,"URIBURU JOSE E., PRES. 411",Balvanera,Comuna 3,1027,
-58.3975717957572,-34.6093491330781,,5,"URIBURU JOSE E., PRES. 5",,,,
-58.3983450837405,-34.6031583575811,"URIBURU JOSE E., PRES.",505,"URIBURU JOSE E., PRES. 505",Balvanera,Comuna 3,1027,
-58.3984763949357,-34.6020007628429,"URIBURU JOSE E., PRES.",607,"URIBURU JOSE E., PRES. 607",Balvanera,Comuna 3,1027,
-58.4089062336828,-34.6248426281234,"URQUIZA, GRAL.",1209,"URQUIZA, GRAL. 1209",San Cristobal,Comuna 3,1243,
-58.387171722778,-34.5960007169941,URUGUAY,1090,URUGUAY 1090,Recoleta,Comuna 2,1016,
-58.3872914204195,-34.594977613092,URUGUAY,1176,URUGUAY 1176,Recoleta,Comuna 2,1016,
-58.3864098932407,-34.6066220874536,URUGUAY,194,URUGUAY 194,San Nicolas,Comuna 1,1015,
-58.3864817387418,-34.6054566248473,URUGUAY,292,URUGUAY 292,San Nicolas,Comuna 1,1015,
