long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,38617905;-34,59694765;500;USAL CS. ECONOMICAS;2013;4U;1;INTERIOR;UNIVERSIDADES;ALVEAR, MARCELO T. DE;1335;;Retiro;Comuna 1;1058;C1058AAU
-58,42019567;-34,59856495;501;UNIVERSIDAD TECNOLOGICA NACIONAL;2013;4U;2;VIA PUBLICA;UNIVERSIDADES;MEDRANO AV.;951;;Almagro;Comuna 5;1179;C1179AAQ
-58,46869624;-34,65956708;502;UNIVERSIDAD TECNOLOGICA NACIONAL;2013;4U;7;INTERIOR;UNIVERSIDADES;MOZART;2350;;Villa Lugano;Comuna 8;1407;C1407IVV
-58,46265249;-34,63241826;503;UFLO;2013;4U;1;INTERIOR;UNIVERSIDADES;PEDERNERA;272;;Flores;Comuna 7;1406;C1406EEF
-58,39144231;-34,60116546;504;USAL DISEÃ‘O;2013;4U;1;INTERIOR;UNIVERSIDADES;RODRIGUEZ PEÃ‘A;670;;San Nicolas;Comuna 1;;
-58,41472138;-34,60927696;505;USAL ARTE Y ARQUITECTURA;2013;4U;1;VIA PUBLICA;UNIVERSIDADES;SANCHEZ DE BUSTAMANTE;106;;Almagro;Comuna 5;1173;C1173ABB
-58,40000798;-34,58924079;506;VIA PUBLICA;2013;4U;2;VIA PUBLICA;VIA PUBLICA;PUEYRREDON AV.;0;ANCHORENA, TOMAS MANUEL DE, DR.;Recoleta;Comuna 2;;
-58,40525904;-34,5959064;507;RADIO MITRE;2013;1U;3;VIA PUBLICA;VIA PUBLICA;MANSILLA, LUCIO NORBERTO, GENERAL;2668;;Recoleta;Comuna 2;1425;C1425BPD
-58,42685548;-34,58905589;508;TONY SOIREE BOUTIQUE;2014;1U;2;VIA PUBLICA;CCCA PALERMO-COMERCIO AMIGO;ARMENIA;1738;;Palermo;Comuna 14;1414;C1414DKL
-58,43911285;-34,58336347;509;ALTURA CRUCERO;2014;1U;2;VIA PUBLICA;CCCA PALERMO-COMERCIO AMIGO;CARRANZA, ANGEL JUSTINIANO;1601;;Palermo;Comuna 14;1414;C1414COQ
-58,43961875;-34,58295552;510;VICEVERSA;2014;1U;2;VIA PUBLICA;CCCA PALERMO;GORRITI;5839;;Palermo;Comuna 14;1414;C1414BKI
-58,42101834;-34,58222928;512;EL CLUB DE LA TELA;2014;1U;1;VIA PUBLICA;CCCA PALERMO-COMERCIO AMIGO;BORGES, JORGE LUIS;2473;;Palermo;Comuna 14;1425;C1425FFI
-58,42588828;-34,5899215;513;POLIFUNCIONAL PALERMO VIEJO;2014;1U;2;VIA PUBLICA;CCCA PALERMO-COMERCIO AMIGO;MALABIA;1720;;Palermo;Comuna 14;1414;C1414DMJ
-58,44205036;-34,58221846;514;CUCINA PARADISO;2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;AREVALO;1538;;Palermo;Comuna 14;1414;C1414CQF
-58,4279556;-34,59001419;515;LA MERCERIA;2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;ARMENIA;1609;;Palermo;Comuna 14;1414;C1414DKI
-58,42649344;-34,58882221;516;HUIJA;2014;1U;1;VIA PUBLICA;COMERCIO AMIGO;ARMENIA;1780;;Palermo;Comuna 14;1414;C1414DKL
-58,41554403;-34,58475795;517;NEW BIKES;2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;SCALABRINI ORTIZ, RAUL;2552;;Palermo;Comuna 14;1425;C1425DBT
-58,45825759;-34,57243707;518;LA DOMINGA;2014;1U;1;VIA PUBLICA;COMERCIO AMIGO;FREIRE, RAMON, CAP. GRAL.;1514;;Colegiales;Comuna 13;1426;C1426AWF
-58,43066366;-34,59019422;519;ESCUELA DR. HUGO ARDILES (YOGA);2014;1U;1;VIA PUBLICA;COMERCIO AMIGO;GURRUCHAGA;1462;;Palermo;Comuna 14;1414;C1414DID
-58,42882715;-34,58917261;520;AY NOT DEAD (WOMEN STORE);2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;GURRUCHAGA;1637;;Palermo;Comuna 14;1414;C1414DIG
-58,4279556;-34,5886622;521;AY NOT DEAD (MEN STORE);2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;GURRUCHAGA;1715;;Palermo;Comuna 14;1414;C1414DII
-58,42753899;-34,58839283;522;MARIANA DAPPIANO;2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;GURRUCHAGA;1755;;Palermo;Comuna 14;1414;C1414DII
