id,nombre,dia,horario,numero,ubicacion,barrio,comuna,productos,calle,altura,calle2,direccion,observacio
125,FIAB 24,SABADO,de 8:00 a 14:00hs,24,"La Rioja 100, entre Hipólito Irigoyen y Avda. Rivadavia.",Balvanera,3,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",La Rioja,100,NA,LA RIOJA 100,NA
126,FIAB 24,DOMINGO,de 8:00 a 14:00hs,24,"Cerrito 900, entre Paraguay y Alvear, Marcelo T. de",Retiro,1,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Cerrito,900,NA,CERRITO 900,Plaza Libertad
128,FIAB 25,MIERCOLES,de 8:00 a 14:00hs,25,Manzanares 2300 - entre Av. Cabildo y Vuelta de Obligado,Nuñez,13,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",Manzanares,2300,NA,MANZANARES 2300,Plaza Balcarce
129,FIAB 25,JUEVES,de 8:00 a 14:00hs,25,John Fitzgerald Kennedy 2800 entre Demaría y Av. Cerviño,Palermo,14,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",kENNEDY,2850,NA,"KENNEDY, JOHN FITZGERALD 2850",NA
130,FIAB 25,VIERNES,de 8:00 a 14:00hs,25,José Bonifacio 1000 entre Cachimayo y Emilio Mitre,Caballito,6,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",José Bonifacio,NA,Emilio Mitre,"BONIFACIO, JOSE y MITRE, EMILIO, CABA",NA
131,FIAB 25,SABADO,de 8:00 a 14:00hs,25,El profeta de La Pampa 4600 y Padre Montes Carballo (Plazoleta Latino Americana),Parque Avellaneda,9,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",El profeta de la pampa,4650,NA,EL PROFETA DE LA PAMPA 4650,NA
132,FIAB 25,DOMINGO,de 8:00 a 14:00hs,25,Manzanares 2300,Nuñez,13,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",Manzanares,2300,NA,MANZANARES 2300,NA
141,FIAB 27,JUEVES,de 8:00 a 14:00hs,27,Corrales 800 - entre Av. La Plata y Gual,Nueva Pompeya,4,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Corrales,801,NA,CORRALES 801,NA
142,FIAB 27,VIERNES,de 8:00 a 14:00hs,27,Homero 100 - entre Cnel. Ramón L. Falcón y Rafaela,Villa Luro,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Homero,NA,Cnel Ramón Falcón,"HOMERO y FALCON, RAMON L.,CNEL., CABA",NA
145,FIAB 27,DOMINGO,de 8:00 a 14:00hs,27,Estomba entre Manuel Ugarte y Congreso,Coghlan,12,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",ESTOMBA,NA,UGARTE,"ESTOMBA y UGARTE, MANUEL",NA
