id,idecaba,nombre,linea,ramal,barrio,comuna,localidad,partido,geometry
113,41,Florida (Belgrano),"Belgrano Norte , F.C.G.B.",,,,Florida Oeste,Florida Oeste,POINT (-58.513187321003656 -34.53708419179525)
114,112,Francisco Álvarez,"Sarmiento , F.C.D.F.S.",,,,Francisco Álvarez,Francisco Álvarez,POINT (-58.855299512048305 -34.632223870194046)
115,293,Garín,"Mitre , F.C.G.B.M.",,,,Garín,Garín,POINT (-58.7366034468744 -34.42158758404948)
116,229,General Hornos,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-58.9179408909148 -34.89227018335908)
117,208,General Las Heras,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-58.94452880597068 -34.92802428381361)
118,84,General Lemos,"Urquiza , F.C.G.U.",,,,Campo de Mayo,Campo de Mayo,POINT (-58.700558754966195 -34.533128242407585)
119,252,General Pacheco,"Mitre , F.C.G.B.M.",,,,Troncos del Talar,Troncos del Talar,POINT (-58.61979292956449 -34.456034083046184)
120,113,General Rodríguez,"Sarmiento , F.C.D.F.S.",,,,General Rodríguez,General Rodríguez,POINT (-58.953014800939435 -34.60888278492901)
121,24,General Sarmiento,"Urquiza , F.C.G.U.",,,,San Miguel,San Miguel,POINT (-58.7142358016109 -34.543788168844)
122,18,Gerli,"Roca , F.C.G.R.",,,,Piñeyro,Piñeyro,POINT (-58.382638361360186 -34.6856452660867)
123,30,Glew,"Roca , F.C.G.R.",,,,Glew,Glew,POINT (-58.38374970646307 -34.88867424960079)
124,136,González Catán,"Belgrano Sur , F.C.G.B.",,,,González Catán,González Catán,POINT (-58.646617002002536 -34.771557953037565)
125,42,Grand Bourg,"Belgrano Norte , F.C.G.B.",,,,Grand Bourg,Grand Bourg,POINT (-58.725092331236084 -34.48539913735965)
126,20,Guernica,"Roca , F.C.G.R.",,,,Presidente Perón,Presidente Perón,POINT (-58.38058478020588 -34.917968539485805)
127,171,Guillermo Enrique Hudson,"Roca , F.C.G.R.",,,,Hudson,Hudson,POINT (-58.15538466600893 -34.79107484627263)
128,188,Haedo (Roca),"Roca , F.C.G.R.",,,,Haedo,Haedo,POINT (-58.59184010770112 -34.64503424992396)
129,104,Haedo (Sarmiento),"Sarmiento , F.C.D.F.S.",,,,Haedo,Haedo,POINT (-58.59179163505316 -34.64458012117363)
130,246,Hospital Español,"Roca , F.C.G.R.",,,,Turdera,Turdera,POINT (-58.40773863289051 -34.78617855677185)
131,61,Hurlingham,"San Martin , F.C.G.S.M.",,,,Hurlingham,Hurlingham,POINT (-58.63229857096638 -34.59112104068039)
132,137,Independencia,"Belgrano Sur , F.C.G.B.",,,,González Catán,González Catán,POINT (-58.615787534111135 -34.760382338190695)
133,154,Ing. Dante Ardigó,"Roca , F.C.G.R.",,,,Gobernador Julio A. Costa,Gobernador Julio A. Costa,POINT (-58.30221513117314 -34.80895125872889)
134,190,Ingeniero Budge,"Belgrano Sur , F.C.G.B.",,,,Ingeniero Budge,Ingeniero Budge,POINT (-58.46216174001276 -34.71865334356075)
135,142,Ingeniero Castello,"Belgrano Sur , F.C.G.B.",,,,Aldo Bonzi,Aldo Bonzi,POINT (-58.50646672255468 -34.71066535465941)
136,254,Ingeniero Maschwitz,"Mitre , F.C.G.B.M.",,,,Ingeniero Maschwitz,Ingeniero Maschwitz,POINT (-58.73636483038645 -34.382968044187045)
137,114,Ingeniero Pablo Marín,"Sarmiento , F.C.D.F.S.",,,,General Rodríguez,General Rodríguez,POINT (-58.89345035262414 -34.62275607444499)
138,298,Ingeniero Rómulo Otamendi,"Mitre , F.C.G.B.M.",,,,,,POINT (-58.89652336858851 -34.22214260607193)
139,194,Ingeniero S. Brian,"Roca , F.C.G.R.",,,,Ramos Mejia,Ramos Mejia,POINT (-58.57296945478776 -34.658130710496884)
140,15,Intendente Pedro P. Turner,"Roca , F.C.G.R.",,,,Ingeniero Budge,Ingeniero Budge,POINT (-58.474906597526825 -34.73319671249164)
141,131,Isidro Casanova,"Belgrano Sur , F.C.G.B.",,,,Isidro Casanova,Isidro Casanova,POINT (-58.58749086688367 -34.704562773614306)
